District,ConstituencyTitle,WinningParty,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout,Year
peshawar,NA-4,pakistan peoples party parlimentarian,12031,138555,3707,142160,352416,40.34,2013
peshawar,NA-3,national alliance,8838,67357,1955,69312,226299,30.63,2002
karachi,NA-258,muttahidda majlis-e-amal,17630,106656,2233,108889,263393,41.3,2002
rawalpindi,NA-50,pakistan peoples party parlimentarian,45203,247047,7316,252679,442458,57.1,2013
lahore,NA-128,independent,148,122617,2757,125374,275267,45.54,2008
lahore,NA-124,muttahidda majlis-e-amal,23974,76491,1374,77865,255757,30.44,2002
thatta,NA-238,pakistan muslim league,76812,140464,4385,144487,363663,39.73,2008
khanewal,NA-157,independent,761,137567,4676,142140,268515,52.93,2008
sargodha,NA-65,pakistan muslim league,53518,149236,6177,154950,345850,44.8,2008
tribal area,NA-40,independent,4876,77113,857,77970,160666,48.52,2013
sahiwal,NA-160,pakistan muslim league,31119,124168,3699,127082,248573,51.12,2008
tribal area,NA-39,independent,10,47602,231,47833,125687,38.05,2013
swat,NA-30,pakistan tehreek-e-insaf,49976,158098,7228,165325,460748,35.88,2013
lower,NA-6,allah-o-akbar tehreek,818,0,0,0,0,48.9,2018
dera ghazi khan,NA-173,independent,82521,183674,7610,189004,358766,52.68,2013
attock,NA-59,pakistan muslim league,58880,156228,4150,160104,263849,60.68,2008
khushab,NA-70,independent,60754,141809,3075,144884,256511,56.48,2002
tribal area,NA-39,independent,4703,49126,381,49463,123335,40.1,2008
gujrat,NA-107,independent,1014,207167,4385,211081,400622,53.0,2013
rawalpindi,NA-61,independent,1803,0,0,0,0,51.38,2018
lahore,NA-127,independent,51,160108,2401,161700,330154,49.0,2013
tribal,NA-48,independent,973,0,0,0,0,23.32,2018
umerkot old mirpurkhas,NA-228,pakistan peoples party parlimentarian,75080,130986,5958,134389,277564,48.4,2008
mianwali,NA-96,pakistan tehreek-e-insaf,157422,254673,6516,261189,450741,57.95,2018
tribal area,NA-36,independent,25,53017,66,53083,179304,29.92,2013
sargodha,NA-66,pakistan peoples party parlimentarian,69943,145468,3804,149249,408823,37.0,2008
okara,NA-146,independent,0,133915,5686,139493,311975,44.71,2008
swat,NA-3,independent,455,0,0,0,0,40.35,2018
buner,NA-28,all pakistan muslim league,610,123029,5188,126255,360019,35.07,2013
ghotki,NA-200,muttahida qaumi movement,3033,108710,3946,112656,281655,40.0,2002
mardan,NA-22,pakistan muslim league (n),36625,0,0,0,0,51.59,2018
lahore,NA-134,national party,381,0,0,0,0,53.4,2018
badin,NA-229,grand democratic alliance,81828,0,0,0,0,52.96,2018
battagram,NA-12,pakistan muslim league,937,0,0,0,0,35.5,2018
gujranwala,NA-101,independent,590,198457,6397,203681,352057,57.85,2013
chakwal,NA-60,pakistan peoples party parlimentarian,24546,242256,4890,247077,433391,57.0,2008
faisalabad,NA-84,pakistan muslim league (n),59616,112068,1805,113223,249391,45.4,2008
faisalabad,NA-75,independent,999,198540,3841,198044,321768,61.54,2013
khanewal,NA-152,pakistan tehreek-e-insaf,108707,231252,3983,235235,401277,58.62,2018
nankana sahibii cumsheikhupura old sheikhupura,NA-136,pakistan tehreek-e-insaf,33408,168173,6739,174787,285503,61.22,2013
karachi,NA-257,muttahida qaumi movement,45480,105413,1630,107043,256535,41.7,2002
kohat,NA-14,pakistan peoples party parlimentarian,8421,98618,3029,101567,357556,28.41,2008
jacobabad old jacobabad,NA-208,independent,46,111131,6489,111173,257664,43.14,2013
mansehra,NA-14,independent,972,0,0,0,0,41.49,2018
nawabshah,NA-213,independent,93,162196,4807,166725,350280,47.59,2008
kamber,NA-202,independent,1282,0,0,0,0,42.73,2018
islamabad,NA-48,independent,24,87601,626,88227,187426,47.07,2002
sheikhupuraii old sheikhupura,NA-133,pakistan muslim league,28005,97934,3959,101893,222833,45.73,2008
gujrat,NA-105,independent,47,199918,4492,203864,394060,51.73,2013
okara,NA-147,pakistan peoples party parlimentarian,79195,95961,0,96809,322087,30.06,2008
tribal area,NA-38,independent,0,0,0,0,0,0.0,2013
karachi,NA-244,pakistan tehreek-e-insaf,69475,167995,2716,170711,407363,41.91,2018
tribal area,NA-40,independent,1855,34638,591,35254,126453,27.87,2008
mardan,NA-9,muttahidda majlis-e-amal,54479,77668,1722,79390,221113,35.9,2002
hangu,NA-33,pakistan peoples party parlimentarian,3639,0,0,0,0,28.47,2018
islamabad,NA-48,independent,691,104409,548,104902,239924,43.72,2008
lahore,NA-130,independent,541,0,0,0,0,52.99,2018
gujrat,NA-107,independent,257,207167,4385,211081,400622,53.0,2013
muzaffargarh,NA-176,muttahidda majlis-e-amal,11557,130270,4202,134472,259766,51.77,2002
gujranwala,NA-80,pakistan tehreek-e-insaf,71937,0,0,0,0,53.36,2018
khairpur,NA-217,independent,657,132957,4947,138606,341935,40.53,2008
faisalabad,NA-101,muttahida majlis-e-amal pakistan,325,0,0,0,0,58.19,2018
rawalpindi,NA-61,all pakistan muslim league,252,0,0,0,0,51.38,2018
sargodha,NA-90,independent,1627,0,0,0,0,52.97,2018
naushero feroze,NA-211,national peoples party,109319,164572,3312,168176,381020,44.138,2008
vehari,NA-167,pakistan muslim league (q),76217,139552,4293,143845,305556,47.08,2002
muzaffargarh,NA-179,independent,272,146490,2728,148411,264185,56.0,2008
sheikhupuraii old sheikhupura,NA-133,pakistan muslim league (n),44786,97934,3959,101893,222833,45.73,2008
lahore,NA-123,pakistan muslim league (n),30372,66805,1046,67851,262987,25.8,2002
dera,NA-39,independent,785,0,0,0,0,3.44,2018
faisalabad,NA-76,pakistan peoples party parlimentarian,43294,139108,4543,143616,255928,56.11,2008
gujranwala,NA-98,jamaat-e-islami pakistan,12795,201776,6170,206591,363205,56.88,2013
mardan,NA-11,jannat pakistan party,352,132539,3970,136212,329285,42.0,2013
faisalabad,NA-75,pakistan muslim league (q),55464,131722,3243,134965,297842,45.31,2002
peshawar,NA-3,independent,743,173647,5276,177823,384086,46.3,2013
sheikhupura,NA-133,muttahidda majlis-e-amal,14355,87582,3795,91377,230454,39.65,2002
tribal,NA-50,independent,184,0,0,0,0,33.0,2018
kasur,NA-139,independent,1558,182988,5734,188869,301506,62.0,2013
khuzdar,NA-269,balochistan national party,52875,113650,10505,124165,228547,54.32,2018
mandi bahauddin,NA-109,independent,2557,210501,6445,212922,384637,55.36,2013
sheikhupura,NA-133,independent,789,87582,3795,91377,230454,39.65,2002
muzaffargarh,NA-179,pakistan muslim league (q),63778,139859,3011,142870,259395,55.08,2002
tribal area,NA-38,independent,6619,16046,304,16350,95484,17.12,2002
lahore,NA-127,pakistan muslim league (q),20545,78316,1552,79868,237065,33.69,2002
killa abdullah,NA-262,muttahidda majlis-e-amal,45590,136235,1492,135268,392221,34.48,2008
faisalabad,NA-76,pakistan muslim league,41068,139108,4543,143616,255928,56.11,2008
mianwal,NA-72,istehkaam-e-pakistan movement party,163,230577,8483,237444,371374,63.69,2013
dera ghazi khan,NA-172,independent,684,158239,5608,163652,345974,47.3,2013
dikhancomtank,NA-25,muttahidda majlis-e-amal,44673,132830,4613,137443,320178,43.0,2008
lahore,NA-121,independent,131,80232,1686,81918,256605,31.92,2002
lodhran,NA-155,pakistan muslim league (q),103209,173468,3532,177000,328640,53.86,2002
naushahro,NA-211,independent,195,0,0,0,0,55.49,2018
multan,NA-155,independent,1796,0,0,0,0,49.27,2018
rawalpindi,NA-52,pakistan muslim league,22773,79175,0,79175,375934,21.06,2008
peshawar,NA-2,muttahidda majlis-e-amal,37728,56000,1367,57367,216587,26.49,2002
pishincumziarat,NA-261,pakistan muslim league (n),999,132402,3911,134430,248179,54.17,2013
faisalabad,NA-85,pakistan islami justice party,54,197858,2496,200354,331974,60.35,2013
nawabshah,NA-214,independent,679,110802,2754,113556,305810,37.1,2002
muzaffargarh,NA-178,independent,5186,120939,1222,122161,283523,43.08,2008
khanewal,NA-156,independent,1951,150940,3048,153988,291062,52.91,2002
mardan,NA-11,independent,707,132539,3970,136212,329285,42.0,2013
sheikhupura,NA-121,independent,29301,0,0,0,0,56.16,2018
charsadda,NA-7,independent,574,169170,5113,173869,376144,46.22,2013
rawalpindi,NA-54,pakistan tehreek-e-insaf,68687,165049,1801,166523,300816,55.36,2013
sukkur cum shikarpur,NA-199,pakistan peoples party parlimentarian,93394,128454,2545,130989,269546,48.59,2008
peshawar,NA-3,independent,6449,173647,5276,177823,384086,46.3,2013
sialkot,NA-76,pakistan muslim league (n),133664,264954,6025,270979,469826,57.68,2018
kasur,NA-141,pakistan muslim league (n),58807,126876,4918,131788,251254,52.45,2008
peshawar,NA-3,qaumi watan party,2157,173647,5276,177823,384086,46.3,2013
tribal,NA-40,pakistan peoples party parlimentarian,12906,0,0,0,0,40.9,2018
tribal area,NA-44,pakistan muslim league,756,58959,1502,60000,185040,32.43,2013
hyderabad,NA-225,pakistan tehreek-e-insaf,50968,0,0,0,0,48.1,2018
tribal area,NA-37,independent,5653,41321,711,42032,138559,30.34,2002
bahawalpur,NA-184,independent,6734,134088,1736,135823,321784,42.2,2008
tribal,NA-49,pakistan muslim league (n),54,0,0,0,0,20.71,2018
bahawalpur,NA-183,independent,30482,110671,3545,114216,271891,42.01,2002
lahore,NA-125,mutahida deeni mahaz,258,222161,4199,217762,429485,51.9,2013
hyderabad,NA-218,pakistan peoples party parlimentarian,102059,112119,1105,113224,276462,41.0,2002
nankana,NA-118,pakistan peoples party parlimentarian,18726,0,0,0,0,58.64,2018
sargodha,NA-92,pakistan muslim league (n),97013,254312,9061,263373,463591,56.81,2018
khairpur,NA-216,independent,1010,178296,4623,182708,378628,48.25,2008
jhelum,NA-62,pakistan muslim league (n),92479,180242,6134,186272,370090,50.33,2008
peshawar,NA-4,qaumi watan party,759,138555,3707,142160,352416,40.34,2013
dera ghazi khan,NA-173,pakistan muslim league (n),56475,134657,5384,140021,334228,41.89,2008
sujawal,NA-231,pakistan peoples party parlimentarian,129980,152824,7285,160109,348864,45.89,2018
karachi,NA-240,independent,90,86444,892,87336,222359,39.3,2002
hafizabad,NA-87,independent,5576,0,0,0,0,59.13,2018
larkanacumkamber shahdadkot old larkana,NA-205,pakistan peoples party (shaheed bhutto),619,120271,9132,129376,252714,51.19,2013
mirpurkhas,NA-227,pakistan peoples party parlimentarian,56627,106907,3331,110238,259929,42.4,2002
lahore,NA-126,independent,42,196155,1916,196045,359492,55.0,2013
tribal area,NA-44,independent,6257,23221,847,24062,136052,17.69,2008
lahore,NA-131,pakistan muslim league (n),83633,0,0,0,0,52.59,2018
bahawalnagar,NA-189,pakistan peoples party parlimentarian,49678,129080,4110,133186,323939,41.11,2008
gujranwala,NA-83,pakistan peoples party parlimentarian,3161,0,0,0,0,55.07,2018
rawalpindi,NA-55,independent,40649,96659,2174,98833,254943,38.77,2002
tribal area,NA-42,independent,0,0,0,0,129961,0.0,2008
khanewal,NA-158,muttahida qaumi movement,441,201234,4728,205058,323568,61.77,2013
tribal,NA-48,independent,256,0,0,0,0,23.32,2018
jamshoroold dadu,NA-231,pakistan peoples party (shaheed bhutto),910,202331,7694,207650,369425,56.21,2013
nausheroferoze,NA-212,independent,26,139613,3172,142785,324754,44.0,2002
vehar,NA-170,independent,352,197980,5763,203104,319983,63.47,2013
multan,NA-151,independent,139,126275,1502,127777,351092,38.85,2008
karak,NA-15,pakistan peoples party parlimentarian,17712,95644,1780,97424,251508,38.74,2002
lakki,NA-36,pakistan muslim league (n),448,0,0,0,0,50.06,2018
shikarpur,NA-203,pakistan peoples party parlimentarian,26084,88121,1535,89656,227629,39.4,2002
bannu,NA-35,jamiat ulama-e-islam pakistan (s),1624,0,0,0,0,42.55,2018
gujranwala,NA-98,muttahida qaumi movement,497,201776,6170,206591,363205,56.88,2013
bahawalnagar,NA-189,pakistan peoples party parlimentarian,59082,122412,3683,126095,271965,46.36,2002
narowal,NA-117,pakistan awami tehreek,1027,101082,3746,104828,226808,46.22,2002
kasur,NA-140,muttahida majlis-e-amal pakistan,1955,0,0,0,0,60.65,2018
chitral,NA-1,pakistan tehreek-e-insaf,38481,0,0,0,0,60.97,2018
tribal,NA-47,independent,51,0,0,0,0,32.87,2018
faisalabad,NA-77,pakistan muslim league,63776,138490,3316,141680,240482,58.91,2008
karak,NA-34,pakistan tehreek-e-insaf,77181,194588,6387,200975,404458,49.69,2018
faisalabad,NA-80,awami justice party pakistan,246,198111,7743,205706,343277,59.92,2013
kohistan,NA-11,muttahida majlis-e-amal pakistan,15859,61700,1529,63229,154620,40.89,2018
pakpattan,NA-165,pakistan muslim league,36603,119903,4682,124209,227991,54.48,2008
tribal area,NA-44,independent,2348,23221,847,24062,136052,17.69,2008
chiniot,NA-100,independent,3723,0,0,0,0,61.68,2018
lahore,NA-125,independent,29,222161,4199,217762,429485,51.9,2013
mandi bahauddin,NA-108,pakistan peoples party parlimentarian,60424,173596,5352,178948,363575,49.22,2002
lahore,NA-122,pakistan awami tehreek,613,92009,1248,93257,279245,33.4,2002
tando allahyarcummatiari old hyderabad,NA-223,pakistan peoples party parlimentarian,84669,130876,4694,135635,276836,48.99,2008
nawabshah,NA-214,independent,999,110802,2754,113556,305810,37.1,2002
gujranwala,NA-101,pakistan muslim league,13886,198457,6397,203681,352057,57.85,2013
sheikhupuracumnankana sahibii old sheikhupura,NA-134,independent,450,104982,2804,107786,208782,51.66,2008
karachi,NA-250,pakistan tehreek-e-insaf,3176,68283,952,69235,205400,33.7,2002
jhang,NA-88,pakistan muslim league,72162,160934,8524,169458,372743,45.46,2008
rawalpindi,NA-50,pakistan sunni tehreek,997,247047,7316,252679,442458,57.1,2013
muzaffargarh,NA-177,pakistan muslim league (n),5721,141471,5633,147102,257818,57.05,2008
kachhi,NA-267,muttahidda majlis-e-amal,3904,78230,1784,80014,230836,34.7,2002
gujranwala,NA-97,independent,103,167431,4228,171510,328632,52.18,2013
mansehra,NA-13,tehreek-e-labbaik pakistan,4731,0,0,0,0,59.66,2018
islamabad,NA-48,jamhoori wattan party,169,104409,548,104902,239924,43.72,2008
hyderabad,NA-219,pakistan muslim league (n),1434,72032,506,72538,236225,30.7,2002
bahawalnagar,NA-190,pakistan peoples party parlimentarian,8683,192221,6347,198568,324085,61.27,2013
mansehra,NA-20,pakistan muslim league �h� haqiqi,472,221152,8452,226592,415191,54.6,2013
faisalabad,NA-79,awami justice party pakistan,346,192563,7322,190941,335868,56.85,2013
sukkurcumshikarpur,NA-199,awami muslim league pakistan,113,151680,5124,156814,273483,57.35,2013
tribal area,NA-40,independent,322,28600,289,28889,96448,29.95,2002
islamabad,NA-48,independent,7,173189,1042,173968,292142,59.55,2013
tribal area,NA-45,independent,13,34966,513,35612,101272,35.16,2008
lower,NA-6,pakistan peoples party parlimentarian,27774,0,0,0,0,48.9,2018
tribal area,NA-39,independent,18,47602,231,47833,125687,38.05,2013
tribal area,NA-43,pakistan peoples party parlimentarian,697,42901,1378,44051,168514,26.14,2013
bhakkar,NA-97,independent,120729,277996,10663,288659,437585,65.97,2018
naushahro,NA-211,independent,344,0,0,0,0,55.49,2018
rawalpindi,NA-51,jamaat-e-islami pakistan,3121,239527,5815,245342,452466,54.22,2013
quetta,NA-259,muttahidda majlis-e-amal,22111,73810,1691,75501,310948,24.3,2002
loralai,NA-263,pakistan muslim league (n),21385,78657,3087,81744,272509,30.0,2002
toba tek singh,NA-93,independent,2110,221817,5795,227220,352845,64.4,2013
karachi,NA-251,independent,35,77719,119,77838,210491,37.0,2002
rawalpindi,NA-63,pakistan tehreek-e-insaf,100986,211826,3843,215669,370967,58.14,2018
lower,NA-7,pakistan tehreek-e-insaf,63017,141723,4455,146178,330592,44.22,2018
dera ghazi khan,NA-171,independent,557,162634,7114,169748,381343,44.42,2008
tribal area,NA-40,independent,395,28600,289,28889,96448,29.95,2002
rahimyar,NA-177,pakistan tehreek-e-insaf,100768,216718,7118,223836,409141,54.71,2018
karachi,NA-258,independent,45,169235,2572,171807,418663,41.03,2008
sheikhupuracumnankana sahibi old sheikhupura,NA-132,independent,51,108107,5112,113219,229477,49.34,2008
kohistan,NA-23,pakistan peoples party parlimentarian,13412,53086,3386,56472,317734,16.7,2008
peshawar,NA-31,pakistan tehreek-e-insaf,87895,160984,3696,154680,390211,42.2,2018
bahawalpur,NA-170,independent,116,0,0,0,0,52.29,2018
gujranwala,NA-83,pakistan tehreek-e-insaf,75940,0,0,0,0,55.07,2018
karachi,NA-246,independent,278,0,0,0,0,38.49,2018
lahore,NA-122,independent,44,182104,2175,184151,326028,58.48,2013
sargodha,NA-68,mutahida deeni mahaz,6591,223031,7280,223784,373233,59.96,2013
lahore,NA-125,pakistan muslim league (n),70752,110246,1471,111707,311540,35.86,2008
swat,NA-2,pakistan tehreek-e-insaf,61687,157060,8721,165781,382974,43.29,2018
tribal area,NA-42,independent,18,12649,208,12507,108056,11.57,2013
swab,NA-13,jamiat ulama-e-islam (f),28672,155745,4191,159276,362779,43.9,2013
multan,NA-149,pakistan peoples party parlimentarian,24531,65545,1605,126603,427253,29.63,2008
narowal,NA-78,independent,1073,0,0,0,0,55.06,2018
kasur,NA-139,independent,40352,0,0,0,0,59.99,2018
jhelum,NA-62,pakistan muslim league (n),51618,148053,2828,150881,290079,52.01,2002
lahore,NA-126,independent,28,119684,1156,119748,360304,33.2,2008
dadui old dadu,NA-232,pakistan peoples party parlimentarian,87467,122176,3234,125414,389936,32.0,2008
jhang,NA-115,pakistan tehreek-e-insaf,91434,253931,8895,262826,457988,57.39,2018
sukkur,NA-199,pakistan peoples party parlimentarian,51694,108113,3008,111121,286117,38.8,2002
vehari,NA-169,independent,45828,150635,4133,154632,320861,48.24,2008
muzaffargarh,NA-183,independent,476,0,0,0,0,63.22,2018
swat,NA-2,pakistan peoples party parlimentarian,16018,0,0,0,0,43.29,2018
gujranwala,NA-95,independent,27,166280,2961,169135,318739,53.06,2013
faisalabad,NA-84,independent,52,180364,4509,184873,308900,59.84,2013
gujranwala,NA-95,pakistan muslim league (q),6702,81099,2212,83311,247002,33.73,2002
karachi,NA-255,independent,66,190638,1451,192088,331927,57.8,2008
larkanacumshikharpurcumkamber shahdadkot old larkana,NA-207,independent,261,144959,8444,153393,282819,54.24,2013
sialkot,NA-74,pakistan muslim league (n),97235,254678,8928,263807,475866,55.4,2018
chakwal,NA-61,muttahida qaumi movement,75,275247,9752,272744,443677,61.0,2013
faisalabad,NA-78,pakistan peoples party parlimentarian,79127,141598,5383,146981,273193,53.8,2008
bahawalpur,NA-173,pakistan muslim league (n),86142,210049,8413,218462,389937,56.02,2018
tribal area,NA-36,independent,1826,22873,390,23263,126007,18.15,2008
faisalabad,NA-82,independent,819,200368,2805,203173,343634,59.12,2013
hyderabad,NA-218,muttahida qaumi movement,3615,112119,1105,113224,276462,41.0,2002
sheikhupura,NA-133,independent,15717,156671,4490,161095,291283,55.31,2013
lakki marwat,NA-27,pakistan muslim league,61303,123547,3874,126515,266658,47.44,2008
gujranwala,NA-98,muttahidda majlis-e-amal,17800,131614,5079,136693,285993,47.8,2002
sanghar,NA-236,pakistan peoples party parlimentarian,56628,132706,1045,133751,290977,46.0,2002
rawalpindi,NA-56,islamic republican party,93,160363,1479,161627,288423,56.04,2013
nankana,NA-117,tehreek-e-labbaik pakistan,19564,0,0,0,0,58.4,2018
badincumtando muhammad khani old badin,NA-224,pakistan peoples party parlimentarian,87102,130012,8728,138742,331871,41.8,2008
ghotki,NA-200,pakistan peoples party parlimentarian,68296,108710,3946,112656,281655,40.0,2002
bhakkar,NA-74,pakistan muslim league (n),71607,176340,3539,179879,290180,61.99,2002
sheikhupura,NA-133,pakistan tehreek-e-insaf,469,87582,3795,91377,230454,39.65,2002
